name,state_abbr,lat,long,pop_estimate_2022,county_fips,division,full_name,place_fips,sum_lev,lsadc,display_name,address,url
"Alcoa","TN","35.8095702","-83.9758571","10978","","6","Alcoa city","540","160","25","City of Alcoa","223 Associates Blvd, Alcoa, TN 37701, USA","https://www.cityofalcoa-tn.gov/"
"Alcorn","MS","34.8865689","-88.5811091","34740","3","6","Alcorn County","","50","06","Alcorn County","501 E Waldron St, Corinth, MS 38834, USA","https://www.alcorncounty.org"
"Albuquerque","NM","35.1047797","-106.6468093","564559","","8","Albuquerque city","2000","160","25","City of Albuquerque","1 Civic Plz NW, Albuquerque, NM 87102, USA","http://www.cabq.gov/"
"Alexander City","AL","32.9272402","-85.937122","14843","","6","Alexander City city","1132","160","25","City of Alexander City","281 James D, Nabors Dr, Alexander City, AL 35010, USA","https://www.alexandercityal.gov"
"Alexandria","KY","38.9678178","-84.3846006","10341","","6","Alexandria city","802","160","25","City of Alexandria","8236 W Main St, Alexandria, KY 41001, USA","https://alexandriaky.org/"
"Alexandria","LA","31.2934492","-92.4701887","45275","","7","Alexandria city","975","160","25","City of Alexandria","","http://www.cityofalexandriala.com"
"Alexandria","VA","38.8192511","-77.0836695","159467","","5","Alexandria city","1000","160","25","City of Alexandria","301 King St, Alexandria, VA 22314, USA","http://www.alexandriava.gov"
"Alhambra","CA","34.0835711","-118.1364436","82868","","9","Alhambra city","884","160","25","City of Alhambra","111 S 1st St, Alhambra, CA 91801, USA","http://www.cityofalhambra.org/"
"Alice","TX","27.7556157","-98.0658117","17891","","7","Alice city","1852","160","25","City of Alice","500 E Main St, Alice, TX 78332, USA","https://www.cityofalice.org/"
"Aliso Viejo","CA","33.57921","-117.7288978","52176","","9","Aliso Viejo city","947","160","25","City of Aliso Viejo","12 Journey, Aliso Viejo, CA 92656, USA","https://avcity.org/"
"Alleghany","VA","37.7879048","-80.008669","15223","5","5","Alleghany County","","50","06","Alleghany County","9212 Winterberry Ave # C, Covington, VA 24426, USA","https://www.co.alleghany.va.us/"
"Allegheny","PA","40.4697574","-79.9804515","1250578","3","2","Allegheny County","","50","06","Allegheny County","436 Grant St #202, Pittsburgh, PA 15219, USA","http://www.alleghenycounty.us"
"Allen","TX","33.1097362","-96.6730316","104627","","7","Allen city","1924","160","25","City of Allen","305 Century Pkwy, Allen, TX 75013, USA","http://www.cityofallen.org"
"Allen Park","MI","42.2594735","-83.2103905","28638","","3","Allen Park city","1380","160","25","City of Allen Park","15915 Southfield Rd, Allen Park, MI 48101, USA","http://www.cityofallenpark.org/"
"Allendale","SC","32.9797573","-81.3632651","8039","5","5","Allendale County","","50","06","Allendale County","Memorial Ave N, Allendale, SC 29810, USA","https://www.allendalecounty.com/"
"Allendale","SC","33.0080468","-81.3091643","2694","","5","Allendale town","00955","160","43","Town of Allendale","","https://townofallendale.sc.gov/"
"Alliance","OH","40.9111711","-81.119827","21672","","3","Alliance city","1420","160","25","City of Alliance","504 E Main St, Alliance, OH 44601, USA","https://www.cityofalliance.com/"
"Allentown","PA","40.5936476","-75.4783928","125845","","2","Allentown city","2000","160","25","City of Allentown","435 Hamilton St, Allentown, PA 18101, USA","http://www.allentownpa.gov/"
"Allouez","WI","44.472257","-88.0262368","14156","","3","Allouez village","1150","160","47","Village of Allouez","1900 Libal St, Allouez, WI 54301, USA","https://www.villageofallouezwi.gov/"
"Alpena","MI","45.0744747","-83.4435713","10197","","3","Alpena city","1740","160","25","City of Alpena","208 N 1st Ave #1, Alpena, MI 49707, USA","https://www.alpena.mi.us/"
"Alpine","UT","40.4629347","-111.772437","10251","","8","Alpine city","540","160","25","City of Alpine","20 N Main St, Alpine, UT 84004, USA","https://www.alpineut.gov"
